Date,Price,Open,High,Low,Vol.,Change %
27-Feb-19,388.7,385.5,388.9,383,0.22K,0.00%
26-Feb-19,388.7,392.9,397,386.2,0.32K,-1.82%
25-Feb-19,395.9,391.9,399.9,389.9,0.31K,-0.25%
22-Feb-19,396.9,399.5,409.3,392.6,0.34K,-0.33%
21-Feb-19,398.2,385.6,403.5,383.6,0.39K,2.37%
20-Feb-19,389,399.1,402.2,386.8,0.53K,-2.11%
19-Feb-19,397.4,400.7,402.3,393.5,0.46K,-2.67%
15-Feb-19,408.3,416.3,418.3,408.3,0.36K,-3.54%
14-Feb-19,423.3,417.5,429.4,406.6,0.58K,1.66%
13-Feb-19,416.4,400.9,416.4,399.5,0.37K,3.74%
12-Feb-19,401.4,400.1,403.5,396,0.33K,-0.67%
11-Feb-19,404.1,415,417.3,404.1,0.46K,-3.58%
8-Feb-19,419.1,418.1,422.2,412.3,0.36K,-1.27%
7-Feb-19,424.5,428.8,429.7,424.5,0.53K,-3.41%
6-Feb-19,439.5,439.2,444.9,423.9,0.82K,0.14%
5-Feb-19,438.9,427.2,438.9,425,0.58K,3.54%
4-Feb-19,423.9,422.1,426.2,419.8,0.33K,1.12%
1-Feb-19,419.2,418.8,425.8,416.5,0.50K,0.72%
31-Jan-19,416.2,427.5,428,411.2,0.94K,-0.07%
30-Jan-19,416.5,410,416.5,407.5,0.43K,3.74%
29-Jan-19,401.5,393.7,404.2,393.7,0.64K,3.03%
28-Jan-19,389.7,383.1,393.2,379,0.45K,2.15%
25-Jan-19,381.5,382.7,392.2,380.1,0.84K,0.10%
24-Jan-19,381.1,365,381.1,362.8,0.63K,4.10%
23-Jan-19,366.1,367.4,372,364,0.64K,0.74%
22-Jan-19,363.4,355,367.7,353.4,0.37K,2.40%
18-Jan-19,354.9,360.4,362,353.4,0.26K,-1.25%
17-Jan-19,359.4,360.6,363.7,358.2,0.31K,-0.58%
16-Jan-19,361.5,353.3,364.1,347.6,0.58K,6.32%
15-Jan-19,340,335,350,332,0.02K,4.62%
14-Jan-19,325,327,330,321.9,0.07K,-1.07%
11-Jan-19,328.5,324.2,330.4,324.2,0.13K,-0.45%
10-Jan-19,330,324.4,335.4,321.9,0.13K,1.69%
9-Jan-19,324.5,331,334.2,322.6,0.11K,-0.61%
8-Jan-19,326.5,324.2,331.7,321.3,0.21K,0.52%
7-Jan-19,324.8,326.2,326.2,323,0.10K,0.37%
4-Jan-19,323.6,325.6,326,323.1,0.05K,-0.83%
3-Jan-19,326.3,330.7,335,322.4,0.22K,-0.82%
2-Jan-19,329,331.5,331.9,328,0.21K,-1.05%
31-Dec-18,332.5,333.1,333.1,330.3,0.14K,0.30%
28-Dec-18,331.5,334.4,334.5,330.3,0.14K,-0.36%
27-Dec-18,332.7,337,338.2,332.2,0.15K,0.09%
26-Dec-18,332.4,335.3,336,329.8,0.11K,-0.86%
24-Dec-18,335.3,336.8,339.5,335,0.19K,0.03%
21-Dec-18,335.2,331,339.7,331,0.47K,0.12%
20-Dec-18,334.8,336,339.7,332.7,0.49K,-0.30%
19-Dec-18,335.8,324.9,340.3,323.6,0.67K,3.23%
18-Dec-18,325.3,322.7,329.2,315.6,0.45K,1.43%
17-Dec-18,320.7,326.1,329.4,317.7,0.50K,-0.28%
14-Dec-18,321.6,322.4,323.6,319.7,0.18K,-0.50%
13-Dec-18,323.2,323.3,326,318.3,0.24K,0.31%
12-Dec-18,322.2,317.5,325.4,317.4,0.30K,1.83%
11-Dec-18,316.4,318.2,321.3,315.2,0.28K,-0.22%
10-Dec-18,317.1,331.6,331.6,316.9,0.47K,-4.46%
7-Dec-18,331.9,321.4,334.5,318.3,0.39K,3.88%
6-Dec-18,319.5,321.2,321.7,318.1,0.22K,-0.71%
5-Dec-18,321.8,326.9,328.5,319.7,0.33K,-1.92%
4-Dec-18,328.1,333.1,333.9,326.2,0.33K,-2.00%
3-Dec-18,334.8,337.2,337.4,327.3,0.57K,3.37%
30-Nov-18,323.9,329,329.1,322.5,0.49K,-1.76%
29-Nov-18,329.7,339.8,343,327.8,0.81K,-2.08%
28-Nov-18,336.7,345,345,335,0.48K,-2.74%
27-Nov-18,346.2,357.9,367,344.7,0.43K,-2.67%
26-Nov-18,355.7,365,370.8,352.6,0.23K,-1.82%
23-Nov-18,362.3,367,369.9,360.9,0.18K,-0.93%
21-Nov-18,365.7,359,371,358,0.32K,2.72%
20-Nov-18,356,357.3,358.7,347,0.17K,-0.70%
19-Nov-18,358.5,366.4,366.4,355.4,0.36K,2.02%
16-Nov-18,351.4,363.2,363.2,351.4,0.33K,6.81%
15-Nov-18,329,336.3,336.3,315.6,0.06K,1.83%
14-Nov-18,323.1,325,333,321.9,0.17K,4.16%
13-Nov-18,310.2,321.8,322.9,304.7,0.09K,-5.31%
12-Nov-18,327.6,331.5,336,322.6,0.04K,-1.06%
9-Nov-18,331.1,332,339,329,0.08K,-0.27%
8-Nov-18,332,330,335,325.5,0.05K,1.31%
7-Nov-18,327.7,332.9,335.9,327.7,0.04K,-2.30%
6-Nov-18,335.4,328.3,335.7,326.4,0.09K,1.64%
5-Nov-18,330,342,342,327,0.10K,-2.94%
2-Nov-18,340,339.7,345,336.3,0.59K,4.36%
1-Nov-18,325.8,320.5,332.5,318.9,0.26K,4.59%
31-Oct-18,311.5,307,320.2,301.5,0.28K,1.86%
30-Oct-18,305.8,308.7,314.3,303.9,0.21K,-0.39%
29-Oct-18,307,312.2,312.5,302.6,0.15K,-0.23%
26-Oct-18,307.7,313.2,319.2,304.8,0.40K,-0.65%
25-Oct-18,309.7,305.7,319,299.9,0.44K,1.77%
24-Oct-18,304.3,312.4,315.4,303.6,0.39K,-2.87%
23-Oct-18,313.3,318.5,319.8,312.9,0.26K,-1.60%
22-Oct-18,318.4,322,324.2,316.6,0.44K,-2.30%
19-Oct-18,325.9,322.8,329,319.4,0.25K,1.34%
18-Oct-18,321.6,334,336.2,320.6,0.49K,-3.63%
17-Oct-18,333.7,337.9,338,332.5,0.30K,-1.82%
16-Oct-18,339.9,327.2,340.2,327.2,0.68K,4.52%
15-Oct-18,325.2,324.1,328.6,321.2,0.52K,1.59%
12-Oct-18,320.1,320.9,326.7,316,0.73K,-1.26%
11-Oct-18,324.2,331,335.5,324.2,0.52K,-4.42%
10-Oct-18,339.2,346,346.8,335.1,0.57K,-2.81%
9-Oct-18,349,347.5,354.8,344.7,0.42K,-1.27%
8-Oct-18,353.5,352.5,357,343.2,0.19K,0.91%
5-Oct-18,350.3,360.7,372,348.1,0.60K,-3.07%
4-Oct-18,361.4,357.1,365,352.1,0.57K,2.21%
3-Oct-18,353.6,342,361.3,338.2,0.71K,2.11%
